instrument,technique,technique_family,n_samples,F1_hz,F2_hz,F3_hz,F4_hz,F5_hz,F6_hz,F1_db,F2_db,F3_db,F4_db,F5_db,F6_db,F1_mean,F1_std,F1_q25,F1_q75,F2_mean,F2_std,F2_q25,F2_q75,F3_mean,F3_std,F3_q25,F3_q75,F4_mean,F4_std,F5_mean,F5_std,F6_mean,F6_std,reliability_score,rugosity,suddenness,mean_kurtosis,mean_irregularity
Accordéon,backwards,other,73,344.5,710.6,1173.6,1787.3,2616.3,3811.4,3.6,5.54,3.18,-6.13,-7.46,-11.58,377.4,122.0,301.5,387.6,800.6,245.5,656.8,839.8,1276.2,405.8,969.0,1378.1,2027.1,741.9,2826.5,1018.2,3846.4,1181.4,0.467,0.0,0.0,31.344,0.003
Accordéon,bellowshake,other,1,323.0,613.7,936.7,1345.8,1862.6,2174.9,-4.84,-4.95,-6.79,-21.64,-17.19,-20.93,323.0,0.0,323.0,323.0,613.7,0.0,613.7,613.7,936.7,0.0,936.7,936.7,1345.8,0.0,1862.6,0.0,2174.9,0.0,0.0,0.0,0.0,33.269,0.0
Accordéon,breath,breath_tone,2,398.4,915.2,1205.9,1582.7,2185.6,2530.2,-9.57,-8.39,-7.77,-9.02,-14.52,-16.38,387.6,10.8,376.8,398.4,742.9,172.3,570.6,915.2,1049.7,156.1,893.6,1205.9,1405.0,177.6,1889.5,296.1,2390.2,140.0,0.498,0.288,0.0,6.114,0.0
Accordéon,combination_of_registers,other,107,366.1,807.5,1238.2,1755.0,2185.6,2960.8,-14.42,-20.49,-23.13,-23.38,-25.76,-27.18,470.1,258.6,290.7,581.4,950.2,427.9,646.0,1119.7,1445.4,596.2,979.8,1765.7,1906.4,647.4,2487.5,851.3,3357.8,1203.3,0.262,0.089,0.0,16.041,0.006
Accordéon,crescendo,crescendo,76,398.4,829.0,1841.1,2217.9,2745.5,3811.4,-6.63,-11.82,-15.06,-16.19,-16.54,-18.83,654.9,558.5,333.8,710.6,1241.0,784.7,689.1,1765.7,1684.8,574.5,1162.8,2217.9,2313.8,692.8,2920.4,850.6,3737.4,1161.1,0.2,0.0,0.0,27.092,0.004
Accordéon,crescendo_to_decrescendo,crescendo,73,366.1,893.6,1216.6,1884.2,2228.7,3649.9,-23.6,-31.64,-28.07,-32.65,-32.67,-34.58,565.9,471.9,301.5,613.7,1142.9,873.1,592.2,1410.4,1428.6,559.4,947.5,1916.5,2017.0,801.6,2619.4,1020.1,3616.2,1319.0,0.2,0.049,0.0,18.039,0.005
Accordéon,decrescendo,crescendo,18,312.2,635.2,947.5,1507.3,1862.6,2336.4,-9.51,-6.07,-8.65,-18.89,-17.2,-19.22,311.6,49.0,290.7,355.3,640.6,97.0,613.7,678.3,966.6,143.6,915.2,990.5,1507.9,196.4,1936.8,215.2,2576.8,699.4,0.548,0.0,0.0,68.164,0.001
Accordéon,difference_tones,other,1,3154.6,3499.1,3962.1,4446.6,4834.2,,-8.99,-24.0,-15.26,-20.38,-36.85,,3154.6,0.0,3154.6,3154.6,3499.1,0.0,3499.1,3499.1,3962.1,0.0,3962.1,3962.1,4446.6,0.0,4834.2,0.0,,,0.0,0.093,0.0,15.868,0.002
Accordéon,key_click,key_click,1,376.8,796.7,1302.8,1615.0,2217.9,3348.4,-6.44,-14.74,-15.48,-20.2,-24.05,-32.24,376.8,0.0,376.8,376.8,796.7,0.0,796.7,796.7,1302.8,0.0,1302.8,1302.8,1615.0,0.0,2217.9,0.0,3348.4,0.0,0.0,0.074,1.0,16.788,0.0
Accordéon,ordinario,ordinario,689,419.9,925.9,1485.8,2088.7,2670.1,3962.1,-19.04,-25.84,-25.4,-28.11,-28.79,-29.02,681.1,657.2,312.2,742.9,1209.0,791.2,667.5,1496.6,1685.8,794.0,1055.1,2110.3,2266.9,856.9,2945.7,1006.1,3915.2,1178.3,0.2,0.0,0.0,23.176,0.005
Accordéon,sforzato,other,73,538.3,1173.6,1755.0,2228.7,3294.6,4382.0,-7.1,-6.81,-6.63,-9.95,-11.06,-10.44,719.1,469.5,355.3,947.5,1214.4,524.0,732.1,1668.8,1766.2,702.3,1141.3,2207.2,2385.6,826.2,3201.3,1056.9,4078.2,1240.2,0.2,0.1,0.0,15.517,0.005
Accordéon,staccato,staccato,75,333.8,667.5,1281.2,1884.2,2325.6,3854.4,-10.83,-13.1,-18.16,-21.95,-19.41,-25.43,561.9,597.0,301.5,409.1,1179.0,1172.9,613.7,1324.3,1413.5,554.2,969.0,1744.2,2064.5,612.8,2744.2,921.8,3753.2,1190.6,0.2,0.0,0.5,31.703,0.005
Accordéon,tap_on_body,other,1,226.1,667.5,1098.2,,,,16.84,9.7,0.24,,,,226.1,0.0,226.1,226.1,667.5,0.0,667.5,667.5,1098.2,0.0,1098.2,1098.2,,,,,,,0.0,0.136,0.0,13.72,0.0
Tuba basse,bisbigliando,bisbigliando,36,215.3,430.7,958.2,,,,1.99,-0.69,-27.20,,,,227.9,38.5,204.6,226.1,460.0,71.1,419.9,452.2,941.0,52.6,947.5,969.0,,,,,,,0.592,0.0,0.0,446.294,0.001
